epoch,train_loss,val_logloss,val_auc,val_brier,lr
1,0.6012496232986451,0.5438575744628906,0.7483500139539377,0.1827264428138733,0.001
2,0.557586322937693,0.5362705588340759,0.7600942427484247,0.1798238456249237,0.001
3,0.5425730671201433,0.5320073962211609,0.7633094625587228,0.1780625581741333,0.001
4,0.5374195471405983,0.5304301381111145,0.7643111160108913,0.17751209437847137,0.001
5,0.5313201069831848,0.5338976383209229,0.7643061404481719,0.17903980612754822,0.001
6,0.5293686383536884,0.5317840576171875,0.7650477788193538,0.1780894547700882,0.001
7,0.5234453793082918,0.5304005146026611,0.7643987753630708,0.17751511931419373,0.001
8,0.5192927933165006,0.5324180722236633,0.7631320753619973,0.17839859426021576,0.001
9,0.5173482511724744,0.5322222113609314,0.7647083783556535,0.1783154308795929,0.0005
10,0.5103899446981294,0.5327330231666565,0.7643523740478226,0.17850057780742645,0.0005
11,0.509195231114115,0.5316184163093567,0.7645767775169862,0.1778760552406311,0.0005
12,0.504751854283469,0.5335635542869568,0.7633368561062788,0.17865091562271118,0.0005
13,0.5019191105450903,0.5334513783454895,0.7624024007034216,0.1784307360649109,0.0005
14,0.5009222958769117,0.535607099533081,0.7617024117055647,0.1793830841779709,0.00025
15,0.49783538579940795,0.535742998123169,0.7612745133116989,0.17920297384262085,0.00025
16,0.49531851836613244,0.5357243418693542,0.7610530169128881,0.179134339094162,0.00025
17,0.49299311574016297,0.5372715592384338,0.7603245721686924,0.17972351610660553,0.00025
18,0.4919840876545225,0.5374571681022644,0.760028945475883,0.17985805869102478,0.00025
19,0.49103986684765133,0.5381699800491333,0.7595490552468595,0.17998094856739044,0.000125
